time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
1601107320,10714.83,10709.2,10710.72,3.715,39778.22,10714,direct,
1601107380,10716.2,10714,10714,8.768,93894.15,10715.94,direct,
1601107440,10715.94,10712.86,10715.94,1.903,20372.19,10713.3,direct,
1601107500,10713.3,10710.26,10713.3,5.432,58133.76,10710.26,direct,
1601107560,10710.8,10706.46,10710.26,27.3,292178.08,10710.8,direct,
1601107620,10711.89,10706.1,10709.36,139.12,1489941.27,10709.76,invert_divide,ETH
1601107680,10714.29,10710.34,10711.74,3.679,39392.95,10714.29,direct,
1601107740,10716.22,10714.29,10714.29,2.591,27756.19,10715.57,direct,
1601107800,10716.19,10710.32,10715.57,7.237,77503.82,10711.22,direct,
1601107860,10714.92,10711.22,10711.22,14.74,159355.03,10714.8,direct,
1601107920,10715.84,10714.8,10714.8,3.729,39955.5,10715.21,direct,
1601107980,10719.46,10715.18,10715.21,9.038,96851.93,10719.45,direct,
1601108040,10721.15,10719.23,10719.45,2.296,24603.41,10721.13,direct,
1601108100,10721.51,10719.2,10721.13,10.19,109227.64,10719.22,direct,
1601108160,10720.78,10718.68,10719.22,1.78,19074.65,10720.77,direct,
1601108220,10721.2,10719.73,10720.77,9.007,96542.09,10720.39,direct,
1601108280,10722.81,10720.14,10720.39,2.862,30672.17,10722.31,direct,
1601108340,10722.31,10721.83,10722.31,3.791,40649.09,10722.22,direct,
1601108400,10724.88,10721.97,10722.22,5.941,63676.28,10722.31,direct,
1601108460,10722.31,10714.07,10722.31,9.811,105089.61,10714.07,direct,
1601108520,10714.09,10709.3,10714.07,30.26,325561.57,10710.21,direct,
1601108580,10710.21,10709.16,10710.21,3.373,36105.59,10709.3,direct,
1601108640,10709.3,10706.32,10709.3,11.5,123120.47,10706.55,direct,
1601108700,10706.56,10702.94,10706.55,10.82,115810.84,10702.94,direct,
1601108760,10705.8,10702.66,10702.94,8.72,93300.48,10703.61,direct,
1601108820,10703.61,10701.49,10703.61,1.468,15701.21,10701.98,direct,
1601108880,10702.49,10701.26,10701.98,1.488,15916.47,10701.46,direct,
1601108940,10702.78,10701.19,10701.46,2.915,31183.38,10701.99,direct,
1601109000,10701.99,10698.5,10701.99,12.19,130370.14,10698.5,direct,
1601109060,10699.18,10696.17,10698.5,16.07,171908.94,10696.33,direct,
1601109120,10699.95,10696.32,10696.33,4.378,46830.9,10696.84,direct,
1601109180,10697.31,10696.71,10696.84,23.8,258151.41,10697.1,direct,
1601109240,10697.1,10695.16,10697.1,4.016,42931.84,10695.38,direct,
1601109300,10699.5,10695.38,10695.38,15.88,169870.67,10699.5,direct,
1601109360,10704.18,10699.36,10699.5,4.983,53307.44,10704.18,direct,
1601109420,10712.25,10704.18,10704.18,3.52,37692.03,10712.23,direct,
1601109480,10712.23,10706.8,10712.23,5.491,58790.48,10706.96,direct,
1601109540,10710.5,10706.25,10706.96,3.28,35104.1,10706.26,direct,
1601109600,10706.26,10700.87,10706.26,3.685,39411.96,10700.87,direct,
1601109660,10700.87,10688.51,10700.87,23.73,253601.56,10690.16,direct,
1601109720,10690.18,10685.52,10690.16,12.85,137206.12,10686.22,direct,
1601109780,10690.27,10686.08,10686.22,4.475,47793.35,10687.24,direct,
1601109840,10687.25,10683.9,10687.24,17.19,186354.73,10685.29,direct,
1601109900,10679.17,10675.21,10679.38,239.28,2555311.91,10679.17,invert_divide,ETH
1601109960,10689.77,10684.04,10684.04,14.63,156250.21,10689.77,direct,
1601110020,10689.87,10687.91,10689.77,1.661,17746.12,10688.48,direct,
1601110080,10692.34,10687.91,10688.48,8.418,89950.79,10691.7,direct,
1601110140,10691.93,10689.27,10691.7,1.549,16558,10689.27,direct,
1601110200,10690.85,10686.59,10689.02,1271.12,13583932.39,10686.59,invert_divide,ETH
1601110260,10689.84,10685.57,10686.59,336.32,3594080.24,10686.49,invert_divide,ETH
1601110320,10694.99,10690.96,10690.96,17.12,182969.85,10694.99,direct,
1601110380,10697.92,10694.99,10694.99,8.841,94544.15,10696.79,direct,
1601110440,10698.4,10694.93,10696.79,2.085,22303.93,10698.35,direct,
1601110500,10698.8,10695.32,10698.35,14.41,155754.31,10695.5,direct,
1601110560,10697.56,10694.11,10695.5,12.81,136984.74,10697.5,direct,
1601110620,10691.67,10685.88,10689.14,172.05,1839502.56,10691.67,invert_divide,ETH
1601110680,10698.8,10697.57,10698.42,4.284,45818.97,10698.46,direct,
1601110740,10698.46,10695.25,10698.46,4.673,50109.5,10696.54,direct,
1601110800,10697.17,10692.91,10696.54,11.06,119394.82,10693.03,direct,
1601110860,10697.79,10692.78,10693.03,16.85,180257.19,10697.78,direct,
1601110920,10698.78,10687.8,10697.59,448.01,4793160.65,10698.78,invert_divide,ETH
1601110980,10703.1,10701.54,10701.89,20.35,217634.33,10703.1,direct,
1601111040,10705.86,10703.07,10703.1,50.43,540045.21,10703.34,direct,
1601111100,10703.4,10701.53,10703.34,6.442,68926.92,10702.76,direct,
1601111160,10702.78,10696.06,10702.76,29.06,310850.03,10696.11,direct,
1601111220,10698.21,10695.74,10696.11,5.143,54994.03,10697.12,direct,
1601111280,10697.51,10695.6,10697.12,8.561,91532.48,10696.64,direct,
1601111340,10696.64,10694.39,10696.64,5.982,63961.42,10694.39,direct,
1601111400,10694.86,10692.36,10694.39,3.453,36935.97,10692.36,direct,
1601111460,10699.58,10691.73,10692.36,11.8,127234.52,10699.57,direct,
1601111520,10699.57,10696.35,10699.57,8.135,86974.17,10696.35,direct,
1601111580,10696.35,10695.26,10696.35,7.086,75745.82,10695.91,direct,
1601111640,10695.92,10691.57,10695.91,4.628,49453.65,10691.99,direct,
1601111700,10691.99,10689.67,10691.99,3.164,33798.24,10690.34,direct,
1601111760,10690.84,10688.79,10690.34,7.06,75412.93,10689.33,direct,
1601111820,10689.88,10689.33,10689.33,2.761,29506.58,10689.76,direct,
1601111880,10693.8,10689.48,10689.76,10.13,108202.65,10692.44,direct,
1601111940,10694.2,10692.44,10692.44,2.327,24869.75,10694.2,direct,
1601112000,10695.47,10692.76,10694.2,4.282,45760.87,10692.83,direct,
1601112060,10694.93,10692.11,10692.83,5.347,57151.64,10693.05,direct,
1601112120,10698.74,10692.83,10693.05,26.22,282046.31,10698.74,direct,
1601112180,10700.76,10698.02,10698.74,7.746,82862.76,10698.99,direct,
1601112240,10699.1,10696.62,10698.99,2.137,22874.97,10697.42,direct,
1601112300,10697.94,10694.07,10697.42,9.227,98674.89,10694.61,direct,
1601112360,10685.8,10680,10686.53,156.07,1667733.04,10685.8,invert_divide,ETH
1601112420,10693.59,10690.78,10690.94,18.13,193740.49,10693.5,direct,
1601112480,10700.2,10693.22,10693.5,25.93,277350.52,10700.2,direct,
1601112540,10705.04,10700.2,10700.2,13.38,143104.84,10701.74,direct,
1601112600,10702.01,10699.22,10701.74,3.5,37437.13,10700.62,direct,
1601112660,10708.77,10700.62,10700.62,32.43,347134.66,10708.77,direct,
1601112720,10712.45,10708.08,10708.77,17.06,182638.81,10712.45,direct,
1601112780,10714.86,10711.99,10712.45,8.914,96447.14,10713.29,direct,
1601112840,10716.06,10710.87,10713.29,49.97,534948.52,10715.56,direct,
1601112900,10717.68,10710.68,10723.59,271.68,2910042.42,10711.29,invert_divide,ETH
1601112960,10714.75,10707.36,10714.36,29.43,315044.73,10707.45,direct,
1601113020,10708.45,10705.26,10707.45,14.54,155598.58,10705.4,direct,
1601113080,10711.45,10705.4,10705.4,7.852,84065.09,10711.06,direct,
1601113140,10719.03,10703.2,10704.77,358.07,3832493.52,10703.2,invert_divide,ETH
1601113200,10712.68,10707.78,10710.21,18.08,193530.79,10712.68,direct,
1601113260,10732.28,10699.42,10716.94,424.04,4537111.9,10699.73,invert_divide,ETH
1601113320,10713.13,10706.21,10713.13,33.06,353803.67,10706.21,direct,
1601113380,10708.54,10705.75,10706.21,34.28,366851.09,10707.99,direct,
1601113440,10710.77,10707.99,10707.99,17.08,184336.31,10708.12,direct,
1601113500,10737.05,10700.49,10710.94,593.5,6351281.84,10701.4,invert_divide,ETH
1601113560,10716.81,10707.21,10708.21,6.239,66796.29,10716.81,direct,
1601113620,10723.02,10715.08,10716.81,17.88,191560.81,10722.95,direct,
1601113680,10739.2,10705.42,10719.62,600.38,6427318.21,10705.42,invert_divide,ETH
1601113740,10720.72,10712.74,10720.72,22.8,244010.49,10714.03,direct,
1601113800,10714.44,10712.4,10714.03,24.09,257822.86,10712.74,direct,
1601113860,10710.54,10706.28,10706.67,178.58,1911981.3,10706.58,invert_divide,ETH
1601113920,10709.26,10707.36,10709.26,1.783,19077.49,10707.46,direct,
1601113980,10707.85,10706.77,10707.46,1.594,17048.97,10707.11,direct,
1601114040,10707.15,10705.99,10707.11,2.394,25622.7,10706.28,direct,
1601114100,10706.28,10705.47,10706.28,22.06,238685.64,10705.47,direct,
1601114160,10706.2,10703.97,10705.47,18.4,197183.98,10703.97,direct,
1601114220,10703.97,10703.44,10703.97,8.749,93627.23,10703.94,direct,
1601114280,10704.08,10703.52,10703.94,3.606,38597.06,10703.86,direct,
1601114340,10704.2,10703.81,10703.86,8.929,96771.16,10704.15,direct,
1601114400,10704.95,10703.65,10704.15,20.66,223906.39,10703.82,direct,
1601114460,10703.82,10701.29,10703.82,1.755,18798.85,10701.29,direct,
1601114520,10701.86,10700.9,10701.29,1.207,12912.4,10701.86,direct,
1601114580,10708.91,10700.78,10701.86,4.178,44708.64,10708.76,direct,
1601114640,10708.76,10707.29,10708.76,1.237,13234.27,10707.75,direct,
1601114700,10708.68,10706.87,10707.75,5.307,56866.55,10706.87,direct,
1601114760,10709.78,10706.87,10706.87,9.251,98980.27,10709.11,direct,
1601114820,10710.2,10708.86,10709.11,4.852,51924.2,10710.13,direct,
1601114880,10710.83,10710.13,10710.13,3.848,41181.9,10710.23,direct,
1601114940,10710.38,10707.69,10710.23,5.523,59114.44,10708.27,direct,
1601115000,10708.32,10705.69,10708.27,5.133,54951.1,10705.69,direct,
1601115060,10705.69,10704.38,10705.69,16.19,174700.36,10704.87,direct,
1601115120,10706.16,10704.22,10704.87,13.35,143626.58,10706.08,direct,
1601115180,10706.92,10704.12,10706.08,1.243,13301.39,10704.12,direct,
1601115240,10704.86,10696,10698.02,283.44,3032885.94,10700.27,invert_divide,ETH
1601115300,10704.56,10702.21,10703.78,1.446,15474.11,10702.21,direct,
1601115360,10702.22,10700.57,10702.21,3.407,36457.6,10701.32,direct,
1601115420,10701.89,10698.53,10698.63,210.88,2256106.83,10698.53,invert_divide,ETH
1601115480,10701.85,10698.61,10701.42,3.811,40796.17,10698.61,direct,
1601115540,10698.61,10693.12,10698.61,8.032,85890.92,10693.25,direct,
1601115600,10693.18,10663.81,10686.03,1668.85,17800896.5,10666.56,invert_divide,ETH
1601115660,10691.09,10684,10691.09,20.9,223250.55,10684,direct,
1601115720,10684,10678.05,10684,23.5,253770.75,10683.22,direct,
1601115780,10680.25,10671.06,10674.33,261.41,2791922.85,10680.25,invert_divide,ETH
1601115840,10687.51,10684.68,10684.68,3.51,37490,10687.51,direct,
1601115900,10687.78,10685.34,10687.51,7.763,82906.72,10687.78,direct,
1601115960,10689.49,10687.78,10687.78,2.145,22916.34,10688.74,direct,
1601116020,10689.7,10687.34,10688.74,12.16,129936.49,10688.05,direct,
1601116080,10690.19,10688.05,10688.05,4.624,49414.96,10689.96,direct,
1601116140,10691.88,10689.96,10689.96,2.079,22222.36,10691.3,direct,
1601116200,10697.83,10691.16,10691.3,17.57,187887.3,10697.83,direct,
